word,meaning,example
Series,সিরিজ,He is reading a series of books. (সে একটি বইয়ের সিরিজ পড়ছে।)
Serve,পরিবেশন করা,She served tea to the guests. (সে অতিথিদের চা পরিবেশন করেছিল।)
Settle,মীমাংসা করা,They settled their dispute. (তারা তাদের বিরোধ মীমাংসা করেছিল।)
Shift,স্থানান্তর করা,Can you help me shift this table? (তুমি কি আমাকে এই টেবিলটি স্থানান্তর করতে সাহায্য করতে পারো?)
Significant,গুরুত্বপূর্ণ,It was a significant change in his life. (এটা তার জীবনে একটি গুরুত্বপূর্ণ পরিবর্তন ছিল।)
Similar,সদৃশ,Your bag is similar to mine. (তোমার ব্যাগটি আমারটির সদৃশ।)
Site,স্থান,This is the site of the new school. (এটি নতুন স্কুলের স্থান।)
Skill,দক্ষতা,He has good communication skills. (তার ভালো যোগাযোগ দক্ষতা আছে।)
Solution,সমাধান,We need to find a solution. (আমাদের একটি সমাধান খুঁজে বের করতে হবে।)
Source,উৎস,What is the source of this news? (এই সংবাদের উৎস কী?)
Space,স্থান,There is not enough space here. (এখানে পর্যাপ্ত স্থান নেই।)
Specific,নির্দিষ্ট,Do you have a specific reason? (তোমার কি কোনো নির্দিষ্ট কারণ আছে?)
Specify,নির্দিষ্ট করা,Please specify your requirements. (অনুগ্রহ করে আপনার প্রয়োজনীয়তা নির্দিষ্ট করুন।)
Spend,ব্যয় করা,How do you spend your free time? (তুমি তোমার অবসর সময় কীভাবে ব্যয় করো?)
Stable,স্থিতিশীল,His condition is now stable. (তার অবস্থা এখন স্থিতিশীল।)
Stage,পর্যায়,This is the first stage of the project. (এটি প্রকল্পের প্রথম পর্যায়।)
Stand,দাঁড়ানো,Please stand up. (অনুগ্রহ করে দাঁড়াও।)
Standard,মান,His work is not up to the standard. (তার কাজ মানসম্মত নয়।)
State,বলা,Please state your name. (অনুগ্রহ করে আপনার নাম বলুন।)
Strategy,কৌশল,What is your strategy for the game? (খেলাটির জন্য তোমার কৌশল কী?)
Stress,চাপ,He is under a lot of stress. (সে অনেক মানসিক চাপের মধ্যে আছে।)
Structure,কাঠামো,The structure of the building is strong. (ভবনটির কাঠামো শক্তিশালী।)
Style,ধরন,I like your style of writing. (আমি তোমার লেখার ধরন পছন্দ করি।)
Subject,বিষয়,What is your favorite subject? (তোমার প্রিয় বিষয় কী?)
Submit,জমা দেওয়া,Please submit your application by Friday. (অনুগ্রহ করে শুক্রবারের মধ্যে আপনার আবেদনপত্র জমা দিন।)
Succeed,সফল হওয়া,I am sure you will succeed. (আমি নিশ্চিত তুমি সফল হবে।)
Suffer,ভোগা,He is suffering from a fever. (সে জ্বরে ভুগছে।)
Suggest,পরামর্শ দেওয়া,What do you suggest? (তুমি কী পরামর্শ দাও?)
Suit,উপযোগী হওয়া,This dress suits you. (এই পোশাকটি তোমাকে মানিয়েছে।)
Support,সমর্থন করা,I will always support you. (আমি তোমাকে সবসময় সমর্থন করব।)
Suppose,মনে করা,Suppose you win the lottery... (মনে করো তুমি লটারি জিতলে...)
Surface,পৃষ্ঠতল,The surface of the table is smooth. (টেবিলের পৃষ্ঠতল মসৃণ।)
Survive,বেঁচে থাকা,He survived the accident. (সে দুর্ঘটনা থেকে বেঁচে গিয়েছিল।)
Suspect,সন্দেহ করা,I suspect he is lying. (আমি সন্দেহ করি সে মিথ্যা বলছে।)
System,সিস্টেম,The computer system is down. (কম্পিউটার সিস্টেমটি ডাউন আছে।)
Task,কাজ,I have an important task to do. (আমার একটি গুরুত্বপূর্ণ কাজ করার আছে।)
Technique,কৌশল,He uses a special technique. (সে একটি বিশেষ কৌশল ব্যবহার করে।)
Temporary,অস্থায়ী,This is a temporary job. (এটি একটি অস্থায়ী চাকরি।)
Tend,প্রবণতা থাকা,He tends to talk too much. (তার খুব বেশি কথা বলার প্রবণতা আছে।)
Theory,তত্ত্ব,Do you know this theory? (তুমি কি এই তত্ত্বটি জানো?)
Threat,হুমকি,He received a death threat. (সে একটি মৃত্যুর হুমকি পেয়েছিল।)
Tidy,পরিষ্কার-পরিচ্ছন্ন,Her room is always tidy. (তার ঘর সবসময় পরিষ্কার-পরিচ্ছন্ন থাকে।)
Title,শিরোনাম,What is the title of the book? (বইটির শিরোনাম কী?)
Topic,বিষয়,Let's change the topic. (চলো বিষয়টি পরিবর্তন করি।)
Transfer,স্থানান্তর করা,He was transferred to another branch. (তাকে অন্য শাখায় স্থানান্তর করা হয়েছিল।)
Transform,রূপান্তর করা,The city has transformed in the last 10 years. (শহরটি গত ১০ বছরে রূপান্তরিত হয়েছে।)
Trend,প্রবণতা,This is a new trend in fashion. (এটি ফ্যাশনের একটি নতুন প্রবণতা।)
Trial,বিচার,He is on trial for theft. (চুরির জন্য তার বিচার চলছে।)
Truth,সত্য,Always tell the truth. (সবসময় সত্য কথা বলো।)
Typical,সাধারণ,It was a typical Monday morning. (এটি একটি সাধারণ সোমবারের সকাল ছিল।)
Understand,বুঝতে পারা,I don't understand the question. (আমি প্রশ্নটি বুঝতে পারছি না।)
Unique,অনন্য,This is a unique opportunity. (এটি একটি অনন্য সুযোগ।)
Valid,বৈধ,Your passport is no longer valid. (তোমার পাসপোর্ট আর বৈধ নয়।)
Vary,পরিবর্তিত হওয়া,Prices vary from shop to shop. (দোকানে দোকানে দাম পরিবর্তিত হয়।)
Vast,বিশাল,He has a vast knowledge of history. (তার ইতিহাস সম্পর্কে বিশাল জ্ঞান রয়েছে।)
Vehicle,যানবাহন,A car is a type of vehicle. (একটি গাড়ি এক ধরনের যানবাহন।)
Version,সংস্করণ,This is the latest version of the software. (এটি সফ্টওয়্যারের সর্বশেষ সংস্করণ।)
Victim,শিকার,He was a victim of the flood. (সে বন্যার শিকার হয়েছিল।)
View,দৃশ্য,The view from the top is amazing. (উপর থেকে দৃশ্যটি চমৎকার।)
Violent,হিংস্র,He has a violent temper. (তার হিংস্র মেজাজ আছে।)
Visible,দৃশ্যমান,The mountains are visible from here. (এখান থেকে পর্বতমালা দৃশ্যমান।)
Vision,দৃষ্টি,He has poor vision in his left eye. (তার বাম চোখে দৃষ্টিশক্তি কম।)
Visit,পরিদর্শন করা,We visited the museum yesterday. (আমরা গতকাল জাদুঘর পরিদর্শন করেছিলাম।)
Volume,আয়তন,What is the volume of this box? (এই বাক্সটির আয়তন কত?)
Wage,মজুরি,What is the minimum wage here? (এখানে ন্যূনতম মজুরি কত?)
Warn,সতর্ক করা,I warned him about the danger. (আমি তাকে বিপদ সম্পর্কে সতর্ক করেছিলাম।)
Weak,দুর্বল,He felt weak after the illness. (অসুস্থতার পর সে দুর্বল বোধ করছিল।)
Wealth,সম্পদ,He has great wealth. (তার প্রচুর সম্পদ আছে।)
Weapon,অস্ত্র,A knife is a dangerous weapon. (একটি ছুরি একটি বিপজ্জনক অস্ত্র।)
Weigh,ওজন করা,How much do you weigh? (তোমার ওজন কত?)
Whatever,যাই হোক,Do whatever you want. (তুমি যাই চাও তাই করো।)
Whereas,যেখানে,He is rich, whereas his brother is poor. (সে ধনী, যেখানে তার ভাই গরীব।)
Whether,কিনা,I don't know whether he will come. (আমি জানি না সে আসবে কিনা।)
Whisper,ফিসফিস করা,She whispered something in his ear. (সে তার কানে কিছু ফিসফিস করে বললো।)
Willing,ইচ্ছুক,Are you willing to help? (তুমি কি সাহায্য করতে ইচ্ছুক?)
Witness,সাক্ষী,He was a witness to the accident. (সে দুর্ঘটনাটির একজন সাক্ষী ছিল।)
Worry,চিন্তা করা,Don't worry about me. (আমার জন্য চিন্তা করো না।)
Worth,মূল্যবান,This book is worth reading. (এই বইটি পড়ার মতো মূল্যবান।)
Wrap,মোড়ানো,She wrapped the gift in paper. (সে উপহারটি কাগজে মোড়ালো।)
Yell,চিৎকার করা,Please don't yell at me. (অনুগ্রহ করে আমার উপর চিৎকার করো না।)
Yield,ফলন,The land yields a good crop. (জমিটি ভালো ফলন দেয়।)
Zone,অঞ্চল,This is a no-smoking zone. (এটি একটি ধূমপানমুক্ত অঞ্চল।)
Accurate,সঠিক,The report is accurate. (প্রতিবেদনটি সঠিক।)
Acknowledge,স্বীকার করা,He acknowledged his mistake. (সে তার ভুল স্বীকার করেছিল।)
Additional,অতিরিক্ত,Do you need any additional help? (আপনার কি কোনো অতিরিক্ত সাহায্যের প্রয়োজন আছে?)
Admire,প্রশংসা করা,I admire your courage. (আমি তোমার সাহসের প্রশংসা করি।)
Admit,স্বীকার করা,He admitted his guilt. (সে তার দোষ স্বীকার করেছিল।)
Adopt,দত্তক নেওয়া,They decided to adopt a child. (তারা একটি শিশু দত্তক নেওয়ার সিদ্ধান্ত নিয়েছিল।)
Advance,অগ্রিম,We need an advance payment. (আমাদের একটি অগ্রিম পেমেন্ট প্রয়োজন।)
Advantage,সুবিধা,What is the advantage of this? (এটির সুবিধা কী?)
Adventure,দুঃসাহসিক কাজ,He loves adventure. (সে দুঃসাহসিক কাজ ভালোবাসে।)
Advertise,বিজ্ঞাপন দেওয়া,They are advertising their new product. (তারা তাদের নতুন পণ্যের বিজ্ঞাপন দিচ্ছে।)
Advice,উপদেশ,Can you give me some advice? (তুমি কি আমাকে কিছু উপদেশ দিতে পারো?)
Affect,প্রভাবিত করা,The weather affected our plans. (আবহাওয়া আমাদের পরিকল্পনাকে প্রভাবিত করেছিল।)
Agenda,আলোচ্যসূচি,What is the agenda for the meeting? (সভার আলোচ্যসূচি কী?)
Aggressive,আক্রমণাত্মক,He has a very aggressive attitude. (তার খুব আক্রমণাত্মক মনোভাব রয়েছে।)
Aim,লক্ষ্য,What is your aim in life? (তোমার জীবনের লক্ষ্য কী?)
Alert,সতর্ক,You must be alert to the danger. (তোমাকে বিপদ সম্পর্কে সতর্ক থাকতে হবে।)
Alternative,বিকল্প,Is there any alternative solution? (কোনো বিকল্প সমাধান আছে কি?)
Amazed,বিস্মিত,I was amazed by his performance. (আমি তার পারফরম্যান্সে বিস্মিত হয়েছিলাম।)
Ambition,উচ্চাকাঙ্ক্ষা,He has a strong ambition to succeed. (তার সফল হওয়ার দৃঢ় উচ্চাকাঙ্ক্ষা আছে।)
Analyze,বিশ্লেষণ করা,We need to analyze the data. (আমাদের ডেটা বিশ্লেষণ করতে হবে।)
Announce,ঘোষণা করা,They will announce the results tomorrow. (তারা আগামীকাল ফলাফল ঘোষণা করবে।)
Annoy,বিরক্ত করা,His behavior annoys me. (তার আচরণ আমাকে বিরক্ত করে।)
Annual,বার্ষিক,It is an annual event. (এটি একটি বার্ষিক অনুষ্ঠান।)
Anxious,উদ্বিগ্ন,He was anxious about the exam results. (সে পরীক্ষার ফলাফল নিয়ে উদ্বিগ্ন ছিল।)
Apologize,ক্ষমা চাওয়া,You should apologize to him. (তোমার তার কাছে ক্ষমা চাওয়া উচিত।)
Appeal,আবেদন,He made an appeal for help. (সে সাহায্যের জন্য আবেদন করেছিল।)
Appear,উপস্থিত হওয়া,He suddenly appeared in front of me. (সে হঠাৎ আমার সামনে উপস্থিত হলো।)
Apply,আবেদন করা,I want to apply for this job. (আমি এই চাকরির জন্য আবেদন করতে চাই।)
Appoint,নিয়োগ করা,He was appointed as the new manager. (তাকে নতুন ম্যানেজার হিসেবে নিয়োগ দেওয়া হয়েছিল।)
Appreciate,প্রশংসা করা,I really appreciate your help. (আমি সত্যিই আপনার সাহায্যের প্রশংসা করি।)
Approval,অনুমোদন,We need your approval. (আমাদের আপনার অনুমোদন প্রয়োজন।)
Approximate,আনুমানিক,What is the approximate cost? (আনুমানিক খরচ কত?)
Argue,তর্ক করা,We are always arguing about money. (আমরা সবসময় টাকা নিয়ে তর্ক করি।)
Arrange,ব্যবস্থা করা,Can you arrange a meeting for tomorrow? (আপনি কি আগামীকালের জন্য একটি সভার ব্যবস্থা করতে পারেন?)
Arrest,গ্রেফতার করা,The police arrested him. (পুলিশ তাকে গ্রেফতার করেছিল।)
Arrive,পৌঁছানো,What time did you arrive? (তুমি কখন পৌঁছেছিলে?)
Article,প্রবন্ধ,I read an interesting article today. (আমি আজ একটি আকর্ষণীয় প্রবন্ধ পড়েছি।)
Artificial,কৃত্রিম,This flower is artificial. (এই ফুলটি কৃত্রিম।)
Ashamed,লজ্জিত,He was ashamed of his behavior. (সে তার আচরণের জন্য লজ্জিত ছিল।)
Aside,পাশে,Please step aside. (অনুগ্রহ করে পাশে সরুন।)
Aspect,দিক,Let's consider every aspect. (চলো প্রতিটি দিক বিবেচনা করি।)
Assist,সহায়তা করা,He assisted me in my work. (সে আমাকে আমার কাজে সহায়তা করেছিল।)
Associate,জড়িত করা,I don't want to be associated with them. (আমি তাদের সাথে জড়িত হতে চাই না।)
Attempt,চেষ্টা করা,He made no attempt to escape. (সে পালানোর কোনো চেষ্টা করেনি।)
Attract,আকর্ষণ করা,The flower's bright colors attract bees. (ফুলের উজ্জ্বল রঙ মৌমাছিদের আকর্ষণ করে।)
Audience,শ্রোতা,The audience enjoyed the show. (শ্রোতারা অনুষ্ঠানটি উপভোগ করেছিল।)
Available,উপলব্ধ,The book is not available. (বইটি উপলব্ধ নয়।)
Avoid,এড়িয়ে চলা,You should avoid fatty foods. (তোমার চর্বিযুক্ত খাবার এড়িয়ে চলা উচিত।)
Award,পুরস্কার,He received an award for his work. (সে তার কাজের জন্য একটি পুরস্কার পেয়েছিল।)
Aware,সচেতন,I am aware of the problem. (আমি সমস্যাটি সম্পর্কে সচেতন।)
Awful,ভয়ঙ্কর,The weather was awful. (আবহাওয়া ভয়ঙ্কর ছিল।)
Background,পটভূমি,What is his family background? (তার পারিবারিক পটভূমি কী?)
Balance,ভারসাম্য,Try to maintain a balance. (ভারসাম্য বজায় রাখার চেষ্টা করো।)
Ban,নিষেধাজ্ঞা,There is a ban on smoking here. (এখানে ধূমপানের উপর নিষেধাজ্ঞা আছে।)
Barrier,বাধা,Fear is a barrier to success. (ভয় সাফল্যের পথে একটি বাধা।)
Base,ভিত্তি,The base of the statue is made of stone. (মূর্তিটির ভিত্তি পাথর দিয়ে তৈরি।)
Battle,যুদ্ধ,He died in battle. (সে যুদ্ধে মারা গিয়েছিল।)
Beauty,সৌন্দর্য,She is known for her beauty. (সে তার সৌন্দর্যের জন্য পরিচিত।)
Behavior,আচরণ,His behavior was strange. (তার আচরণ অদ্ভুত ছিল।)
Belief,বিশ্বাস,What are your religious beliefs? (তোমার ধর্মীয় বিশ্বাস কী?)
Belong,অধীনে থাকা,Does this book belong to you? (এই বইটি কি তোমার?)
Benefit,সুবিধা,What are the benefits of this plan? (এই পরিকল্পনার সুবিধাগুলি কী কী?)
Blame,দোষ দেওয়া,Don't blame me for this. (এজন্য আমাকে দোষ দিও না।)
Blind,অন্ধ,He is blind in one eye. (সে এক চোখে অন্ধ।)
Border,সীমানা,We crossed the border. (আমরা সীমানা পার হয়েছিলাম।)
Bother,বিরক্ত করা,Don't bother your father. (তোমার বাবাকে বিরক্ত করো না।)
Boundary,সীমানা,This is the boundary of the field. (এটি মাঠের সীমানা।)
Brain,মস্তিষ্ক,The brain controls the body. (মস্তিষ্ক শরীরকে নিয়ন্ত্রণ করে।)
Branch,শাখা,He works in our London branch. (সে আমাদের লন্ডন শাখায় কাজ করে।)
Brave,সাহসী,He is a brave soldier. (সে একজন সাহসী সৈনিক।)
Brief,সংক্ষিপ্ত,Please keep your speech brief. (অনুগ্রহ করে আপনার বক্তব্য সংক্ষিপ্ত রাখুন।)
Budget,বাজেট,We have a limited budget. (আমাদের একটি সীমিত বাজেট আছে।)
Burden,বোঝা,I don't want to be a burden on you. (আমি তোমার উপর বোঝা হতে চাই না।)
Bury,কবর দেওয়া,They buried him in the churchyard. (তারা তাকে গির্জার আঙ্গিনায় কবর দিয়েছে।)
Calculate,হিসাব করা,Can you calculate the total cost? (তুমি কি মোট খরচ হিসাব করতে পারো?)
Cancel,বাতিল করা,They had to cancel the meeting. (তাদেরকে সভাটি বাতিল করতে হয়েছিল।)
Capable,সক্ষম,She is capable of handling the situation. (সে পরিস্থিতি সামলাতে সক্ষম।)
Capacity,ধারণক্ষমতা,The hall has a capacity of 500 people. (হলটির ধারণক্ষমতা ৫০০ জন।)
Capture,বন্দী করা,The police captured the thief. (পুলিশ চোরটিকে বন্দী করেছিল।)
Careful,সতর্ক,Please be careful. (অনুগ্রহ করে সতর্ক থেকো।)
Category,বিভাগ,The books are sorted by category. (বইগুলি বিভাগ অনুযায়ী সাজানো আছে।)
Cause,কারণ,What was the cause of the fire? (আগুনের কারণ কী ছিল?)
Cease,বন্ধ করা,They ceased fighting. (তারা লড়াই বন্ধ করেছিল।)
Certain,নিশ্চিত,Are you certain about this? (তুমি কি এ ব্যাপারে নিশ্চিত?)
Challenge,চ্যালেঞ্জ,It was a big challenge for me. (এটা আমার জন্য একটা বড় চ্যালেঞ্জ ছিল।)
Chance,সুযোগ,Is there any chance of rain? (বৃষ্টির কোনো সুযোগ আছে কি?)
Chapter,অধ্যায়,Please read the next chapter. (অনুগ্রহ করে পরবর্তী অধ্যায়টি পড়ো।)
Characteristic,বৈশিষ্ট্য,What are the characteristics of this animal? (এই প্রাণীটির বৈশিষ্ট্যগুলি কী কী?)
Charge,অভিযোগ,He was arrested on a charge of theft. (চুরির অভিযোগে তাকে গ্রেফতার করা হয়েছিল।)
Charity,দান,They are raising money for charity. (তারা দানের জন্য টাকা তুলছে।)
Choice,পছন্দ,You have no choice in this matter. (এই ব্যাপারে তোমার কোনো পছন্দ নেই।)
Citizen,নাগরিক,He is a citizen of Bangladesh. (সে বাংলাদেশের নাগরিক।)
Civil,বেসামরিক,He works in the civil service. (সে বেসামরিক চাকরিতে কাজ করে।)
Classic,ক্লাসিক,This is a classic movie. (এটি একটি ক্লাসিক সিনেমা।)
Climate,জলবায়ু,The climate here is very hot. (এখানকার জলবায়ু খুব গরম।)
Collapse,ভেঙ্গে পড়া,The building collapsed during the earthquake. (ভূমিকম্পের সময় ভবনটি ভেঙ্গে পড়েছিল।)
Colleague,সহকর্মী,He is my colleague. (সে আমার সহকর্মী।)
Collect,সংগ্রহ করা,He collects old stamps. (সে পুরনো স্ট্যাম্প সংগ্রহ করে।)
Combine,একত্রিত করা,We should combine our efforts. (আমাদের প্রচেষ্টাগুলিকে একত্রিত করা উচিত।)
Comfort,আরাম,He lives in comfort. (সে আরামে জীবনযাপন করে।)
Command,আদেশ,He gave the command to fire. (সে গুলি করার আদেশ দিল।)
Comment,মন্তব্য,Do you have any comments? (আপনার কি কোনো মন্তব্য আছে?)
Commercial,বাণিজ্যিক,This is a commercial building. (এটি একটি বাণিজ্যিক ভবন।)
Commission,কমিশন,He gets a commission on sales. (সে বিক্রয়ের উপর কমিশন পায়।)
Commit,প্রতিশ্রুতিবদ্ধ হওয়া,He committed himself to finishing the project. (সে প্রকল্পটি শেষ করতে প্রতিশ্রুতিবদ্ধ হয়েছিল।)
Commitment,প্রতিশ্রুতি,He has a strong commitment to his work. (তার কাজের প্রতি তার দৃঢ় প্রতিশ্রুতি আছে।)
Common,সাধারণ,This is a common mistake. (এটি একটি সাধারণ ভুল।)
Communicate,যোগাযোগ করা,How do you communicate with him? (তুমি তার সাথে কীভাবে যোগাযোগ করো?)
Community,সম্প্রদায়,He is well-known in the local community. (সে স্থানীয় সম্প্রদায়ে সুপরিচিত।)
Compare,তুলনা করা,Don't compare yourself with others. (নিজেকে অন্যের সাথে তুলনা করো না।)
Compete,প্রতিযোগিতা করা,Are you going to compete in the race? (তুমি কি দৌড়ে প্রতিযোগিতা করতে যাচ্ছ?)
Complain,অভিযোগ করা,She is always complaining about her job. (সে সবসময় তার কাজ নিয়ে অভিযোগ করে।)
Complete,সম্পূর্ণ করা,When will you complete the work? (তুমি কখন কাজটি সম্পূর্ণ করবে?)
Complex,জটিল,The problem is very complex. (সমস্যাটি খুব জটিল।)
Comply,মেনে চলা,You must comply with the rules. (তোমাকে অবশ্যই নিয়মগুলি মেনে চলতে হবে।)
Component,উপাদান,What are the components of this machine? (এই মেশিনটির উপাদানগুলি কী কী?)
Compose,রচনা করা,He composed a new song. (সে একটি নতুন গান রচনা করেছিল।)
Concentrate,মনোযোগ দেওয়া,Please concentrate on your work. (অনুগ্রহ করে তোমার কাজে মনোযোগ দাও।)
Concept,ধারণা,I don't understand this concept. (আমি এই ধারণাটি বুঝতে পারছি না।)
Concern,উদ্বেগ,His health is a major concern. (তার স্বাস্থ্য একটি বড় উদ্বেগের বিষয়।)
Conclude,উপসংহার টানা,What can we conclude from this? (এ থেকে আমরা কী উপসংহার টানতে পারি?)
Condition,অবস্থা,The car is in good condition. (গাড়িটি ভালো অবস্থায় আছে।)
Conduct,পরিচালনা করা,They are conducting an experiment. (তারা একটি পরীক্ষা পরিচালনা করছে।)
Conference,সম্মেলন,He is attending a conference. (সে একটি সম্মেলনে অংশ নিচ্ছে।)
Confident,আত্মবিশ্বাসী,I am confident of success. (আমি সফলতা সম্পর্কে আত্মবিশ্বাসী।)
Confirm,নিশ্চিত করা,Please confirm your booking. (অনুগ্রহ করে আপনার বুকিং নিশ্চিত করুন।)
Conflict,দ্বন্দ্ব,There is a conflict between the two groups. (দুটি দলের মধ্যে দ্বন্দ্ব রয়েছে।)
Confuse,বিভ্রান্ত করা,His instructions confused me. (তার নির্দেশাবলী আমাকে বিভ্রান্ত করেছিল।)
Connect,সংযোগ করা,The two cities are connected by a bridge. (শহর দুটি একটি সেতু দ্বারা সংযুক্ত।)
Conscious,সচেতন,He was conscious of his mistake. (সে তার ভুল সম্পর্কে সচেতন ছিল।)
Consent,সম্মতি,He gave his consent to the plan. (সে পরিকল্পনাটিতে তার সম্মতি দিয়েছিল।)
Consequence,পরিণতি,Every action has a consequence. (প্রতিটি কাজের একটি পরিণতি আছে।)
Conservative,রক্ষণশীল,He has very conservative views. (তার খুব রক্ষণশীল মতামত রয়েছে।)
Considerable,উল্লেখযোগ্য,He saved a considerable amount of money. (সে উল্লেখযোগ্য পরিমাণ টাকা জমিয়েছিল।)
Consist,গঠিত,The team consists of 10 members. (দলটি ১০ জন সদস্য নিয়ে গঠিত।)
Constant,অবিরাম,She was in constant pain. (সে অবিরাম যন্ত্রণার মধ্যে ছিল।)
Construct,নির্মাণ করা,They are constructing a new building. (তারা একটি নতুন ভবন নির্মাণ করছে।)
Consult,পরামর্শ করা,You should consult a doctor. (তোমার একজন ডাক্তারের সাথে পরামর্শ করা উচিত।)
Consume,ভোগ করা,How much electricity do you consume? (তুমি কত বিদ্যুৎ ভোগ করো?)
Contact,যোগাযোগ,Please keep in contact. (অনুগ্রহ করে যোগাযোগ রেখো।)
Contain,ধারণ করা,This box contains old photos. (এই বাক্সটিতে পুরানো ছবি রয়েছে।)
Contemporary,সমসাময়িক,He is a contemporary writer. (তিনি একজন সমসাময়িক লেখক।)
Content,সন্তুষ্ট,Are you content with your job? (তুমি কি তোমার কাজ নিয়ে সন্তুষ্ট?)
Contest,প্রতিযোগিতা,She won the beauty contest. (সে সৌন্দর্য প্রতিযোগিতায় জিতেছিল।)
Context,প্রসঙ্গ,You must understand the context. (তোমাকে অবশ্যই প্রসঙ্গটি বুঝতে হবে।)
Continue,চালিয়ে যাওয়া,Please continue your story. (অনুগ্রহ করে তোমার গল্পটি চালিয়ে যাও।)
Contract,চুক্তি,He signed a contract. (সে একটি চুক্তিতে স্বাক্ষর করেছিল।)
Contrast,বৈসাদৃশ্য,What is the contrast between these two? (এই দুটির মধ্যে বৈসাদৃশ্য কী?)
Control,নিয়ন্ত্রণ,He has no control over his son. (তার ছেলের উপর তার কোনো নিয়ন্ত্রণ নেই।)
Convenient,সুবিধাজনক,Is this time convenient for you? (এই সময়টি কি আপনার জন্য সুবিধাজনক?)
Conversation,কথোপকথন,I had a long conversation with him. (তার সাথে আমার দীর্ঘ কথোপকথন হয়েছিল।)
Convince,বিশ্বাস করানো,I managed to convince him. (আমি তাকে বিশ্বাস করাতে সক্ষম হয়েছিলাম।)
Cooperate,সহযোগিতা করা,We must cooperate to finish the project. (প্রকল্পটি শেষ করতে আমাদের অবশ্যই সহযোগিতা করতে হবে।)
Core,মূল,What is the core of the problem? (সমস্যাটির মূল কী?)
Corporate,কর্পোরেট,He works in the corporate world. (সে কর্পোরেট জগতে কাজ করে।)
Correct,সঠিক,Your answer is correct. (তোমার উত্তর সঠিক।)
Council,পরিষদ,He is a member of the city council. (সে নগর পরিষদের একজন সদস্য।)
Couple,দম্পতি,They are a happy couple. (তারা একটি সুখী দম্পতি।)
Courage,সাহস,He showed great courage. (সে অসামান্য সাহস দেখিয়েছিল।)
Create,তৈরি করা,We need to create more jobs. (আমাদের আরও চাকরি তৈরি করতে হবে।)
Creative,সৃজনশীল,She is a very creative person. (সে খুব সৃজনশীল একজন মানুষ।)
Credit,ধার,Can I buy this on credit? (আমি কি এটি ধারে কিনতে পারি?)
Crime,অপরাধ,Theft is a crime. (চুরি একটি অপরাধ।)
Crisis,সংকট,The country is in an economic crisis. (দেশটি অর্থনৈতিক সংকটে আছে।)
Criteria,মানদণ্ড,What are the criteria for selection? (নির্বাচনের মানদণ্ড কী কী?)
Critical,সমালোচনামূলক,His parents were critical of his choices. (তার বাবা-মা তার পছন্দের সমালোচনামূলক ছিলেন।)
Criticize,সমালোচনা করা,Don't criticize him so much. (তার এত সমালোচনা করো না।)
Crop,ফসল,The farmers are harvesting the crop. (কৃষকরা ফসল কাটছে।)
Crucial,অত্যন্ত গুরুত্বপূর্ণ,It is crucial that you arrive on time. (আপনার সময়মতো আসা অত্যন্ত গুরুত্বপূর্ণ।)
Culture,সংস্কৃতি,I am interested in foreign cultures. (আমি বিদেশী সংস্কৃতিতে আগ্রহী।)
Current,বর্তমান,What is your current address? (আপনার বর্তমান ঠিকানা কী?)
Cycle,চক্র,The life cycle of a butterfly is interesting. (প্রজাপতির জীবন চক্রটি আকর্ষণীয়।)
Damage,ক্ষতি,The storm caused a lot of damage. (ঝড়টি অনেক ক্ষতি করেছে।)
Data,তথ্য,We need to collect more data. (আমাদের আরও তথ্য সংগ্রহ করতে হবে।)
Debate,বিতর্ক,There was a debate on this issue. (এই বিষয়ে একটি বিতর্ক হয়েছিল।)
Decade,দশক,He lived in that house for a decade. (সে ওই বাড়িতে এক দশক ধরে বসবাস করেছিল।)
Decade,দশক,He lived in that house for a decade. (সে ওই বাড়িতে এক দশক ধরে বসবাস করেছিল।)
Decent,শালীন,He earns a decent salary. (সে একটি শালীন বেতন আয় করে।)
Decline,প্রত্যাখ্যান করা,He declined my offer of help. (সে আমার সাহায্যের প্রস্তাব প্রত্যাখ্যান করেছিল।)
Decrease,কমা,The population has decreased. (জনসংখ্যা কমে গেছে।)
Deep,গভীর,The river is very deep here. (নদীটি এখানে খুব গভীর।)
Defend,রক্ষা করা,He had to defend himself. (তাকে নিজেকে রক্ষা করতে হয়েছিল।)
Define,সংজ্ঞায়িত করা,How would you define this word? (আপনি এই শব্দটি কীভাবে সংজ্ঞায়িত করবেন?)
Definite,নির্দিষ্ট,We need a definite answer. (আমাদের একটি নির্দিষ্ট উত্তর দরকার।)
Degree,ডিগ্রি,He has a degree in engineering. (তার ইঞ্জিনিয়ারিংয়ে ডিগ্রি আছে।)
Delay,বিলম্ব,Sorry for the delay. (বিলম্বের জন্য দুঃখিত।)
Deliberate,ইচ্ছাকৃত,It was a deliberate attempt. (এটি একটি ইচ্ছাকৃত প্রচেষ্টা ছিল।)
Delight,আনন্দ,She screamed with delight. (সে আনন্দে চিৎকার করে উঠলো।)
Deliver,পৌঁছে দেওয়া,Can you deliver this package? (তুমি কি এই পার্সেলটি পৌঁছে দিতে পারো?)
Demand,চাহিদা,There is a high demand for skilled workers. (দক্ষ কর্মীদের উচ্চ চাহিদা রয়েছে।)
Demonstrate,প্রদর্শন করা,He demonstrated how to use the machine. (সে দেখিয়েছিল কীভাবে মেশিনটি ব্যবহার করতে হয়।)
